,layer_idx,sample_idx,pre_activations,post_activations,std
0,0,0,"[ 1.  2.  1.  0. -1. -2. -3. -4. -5. -6. -7. -8.  2.  1.  0. -1. -2. -3.
 -4. -5. -6. -7. -8.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6. -7.  2.  1.
  0. -1. -2. -3. -4. -5. -6. -7. -8.  3.  2.  1.  0. -1. -2. -3. -4. -5.
 -6. -7.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6. -7.  3.  2.  1.  0. -1.
 -2. -3. -4. -5. -6. -7.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6. -7.  3.
  2.  1.  0. -1. -2. -3. -4. -5. -6. -7.  3.  2.  1.  0. -1. -2. -3. -4.
 -5. -6. -7.  4.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6.  4.  3.  2.  1.
  0. -1. -2. -3. -4. -5. -6.  5.  4.  3.  2.  1.  0. -1. -2. -3. -4. -5.
  4.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6.  4.  3.  2.  1.  0. -1. -2.
 -3. -4. -5. -6.  5.  4.  3.  2.  1.  0. -1. -2. -3. -4. -5.  5.  4.  3.
  2.  1.  0. -1. -2. -3. -4. -5.  4.  3.  2.  1.  0. -1. -2. -3. -4. -5.
 -6.  4.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6.  3.  2.  1.  0. -1. -2.
 -3. -4. -5. -6. -7.  4.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6.  3.  2.
  1.  0. -1. -2. -3. -4. -5. -6. -7.  2.  1.  0. -1. -2. -3. -4. -5. -6.
 -7. -8.  2.  1.  0. -1. -2. -3. -4. -5. -6. -7. -8.  2.  1.  0. -1. -2.
 -3. -4. -5. -6. -7. -8.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6. -7.  2.
  1.  0. -1. -2. -3. -4. -5. -6. -7. -8.  2.  1.  0. -1. -2. -3. -4. -5.
 -6. -7. -8.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6. -7.  4.  3.  2.  1.
  0. -1. -2. -3. -4. -5. -6.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6. -7.
  3.  2.  1.  0. -1. -2. -3. -4. -5. -6. -7.  3.  2.  1.  0. -1. -2. -3.
 -4. -5. -6. -7.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6. -7.  4.  3.  2.
  1.  0. -1. -2. -3. -4. -5. -6.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6.
 -7.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6. -7.  4.  3.  2.  1.  0. -1.
 -2. -3. -4. -5. -6.  4.  3.  2.  1.  0. -1. -2. -3. -4. -5. -6.  1.  0.
 -1. -2. -3. -4. -5. -6. -7. -8. -9.  1.  0. -1. -2. -3. -4. -5. -6. -7.
 -8. -9.  1.  0. -1. -2. -3. -4. -5. -6. -7. -8. -9.  3.  2.  1.  0. -1.
 -2. -3. -4. -5. -6. -7.  1.  0. -1. -2. -3. -4. -5. -6. -7. -8. -9.  2.
  1.  0. -1. -2. -3. -4. -5. -6. -7. -8.  2.  1.  0. -1. -2. -3. -4. -5.
 -6. -7. -8.  2.  1.  0. -1. -2. -3. -4. -5. -6. -7. -8.  1.  0. -1. -2.
 -3. -4. -5. -6. -7. -8. -9.  1.  0. -1. -2. -3. -4. -5. -6. -7. -8. -9.
  2.  1.  0. -1. -2. -3. -4. -5. -6. -7. -8.]","[1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0.
 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0.
 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1.
 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0.
 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0.
 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0.
 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0.
 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0.0
1,1,0,"[1. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0.
 0. 0. 1. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0.
 1. 1. 0.]","[1. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0.
 0. 0. 1. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0.
 1. 1. 0.]",0.0
2,2,0,"[ 1.  0. -1.  0. -1.  0. -1.  0.  0. -1. -1.  0.  0. -1.  0.  0.  0. -1.
  1.  0.  1.  0.  0.  1.  1. -1.  0.  0.  0.  0.  1. -1. -1.  0.  0.  1.
  0.  0.  1.  1.  0.  0.  1.  0.  1. -1.  1.  0.  0.  0.  0.  0.  0.  1.
  0.  1.  1.  1.  1.  1.  1.  0.  0.  1.  0.  0.  1.  1.  0.  0.  1.  0.
  1.  0.  0.  0.  1.  0.  0.  1.  0.  1.  1.  1.  1.  0.  1.  1.  0.  0.
  1.  1.  1.  1.  1.  0.  0.  0.  1.  1.  0.]","[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 1.
 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1. 0. 1. 0. 1. 0.
 0. 0. 0. 0. 0. 1. 0. 1. 1. 1. 1. 1. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0. 1. 0.
 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0.
 0. 0. 1. 1. 0.]",0.0
3,3,0,"[ 1.  1.  0.  1.  0.  0. -1.  1.  0.  1.  0.  0. -1.  1.  0.  0. -1.  1.
  0.  1.  0.  1.  0.  1.  0.  0. -1.  1.  0.  1.  0.  1.  0.  0. -1.  2.
  1.  0. -1.  2.  1.  0. -1.  0. -1.  1.  0.  2.  1.  0. -1.  1.  0.  1.
  0.  1.  0.  0. -1.  1.  0.  1.  0.  1.  0.  1.  0.  0. -1.  2.  1.  0.
 -1.  0. -1.  1.  0.  1.  0.  1.  0.  1.  0.  1.  0.  0. -1.  1.  0.  0.
 -1.  1.  0.  1.  0.  1.  0.  1.  0.  0. -1.]","[1. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1.
 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1.
 1. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 0.
 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 0. 1.
 0. 1. 0. 0. 0.]",0.0
4,4,0,"[1. 1. 1. 0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1.
 0. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1.
 1. 1. 0.]","[1. 1. 1. 0. 1. 1. 0. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1.
 0. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 1. 0. 1. 1.
 1. 1. 0.]",0.0
5,5,0,"[ 1.  1.  7.  6.  5.  4.  3.  2.  1.  0. -1. -2. -3.  7.  6.  5.  4.  3.
  2.  1.  0. -1. -2. -3.  6.  5.  4.  3.  2.  1.  0. -1. -2. -3. -4.  7.
  6.  5.  4.  3.  2.  1.  0. -1. -2. -3.  9.  8.  7.  6.  5.  4.  3.  2.
  1.  0. -1.  8.  7.  6.  5.  4.  3.  2.  1.  0. -1. -2.  9.  8.  7.  6.
  5.  4.  3.  2.  1.  0. -1.  5.  4.  3.  2.  1.  0. -1. -2. -3. -4. -5.
  6.  5.  4.  3.  2.  1.  0. -1. -2. -3. -4.  5.  4.  3.  2.  1.  0. -1.
 -2. -3. -4. -5.  6.  5.  4.  3.  2.  1.  0. -1. -2. -3. -4.  5.  4.  3.
  2.  1.  0. -1. -2. -3. -4. -5.  8.  7.  6.  5.  4.  3.  2.  1.  0. -1.
 -2.  7.  6.  5.  4.  3.  2.  1.  0. -1. -2. -3.  9.  8.  7.  6.  5.  4.
  3.  2.  1.  0. -1.  9.  8.  7.  6.  5.  4.  3.  2.  1.  0. -1.  8.  7.
  6.  5.  4.  3.  2.  1.  0. -1. -2.  9.  8.  7.  6.  5.  4.  3.  2.  1.
  0. -1.  9.  8.  7.  6.  5.  4.  3.  2.  1.  0. -1.  7.  6.  5.  4.  3.
  2.  1.  0. -1. -2. -3.  8.  7.  6.  5.  4.  3.  2.  1.  0. -1. -2.  8.
  7.  6.  5.  4.  3.  2.  1.  0. -1. -2.  8.  7.  6.  5.  4.  3.  2.  1.
  0. -1. -2.  7.  6.  5.  4.  3.  2.  1.  0. -1. -2. -3.  9.  8.  7.  6.
  5.  4.  3.  2.  1.  0. -1.  9.  8.  7.  6.  5.  4.  3.  2.  1.  0. -1.
  8.  7.  6.  5.  4.  3.  2.  1.  0. -1. -2.  8.  7.  6.  5.  4.  3.  2.
  1.  0. -1. -2.  9.  8.  7.  6.  5.  4.  3.  2.  1.  0. -1.  5.  4.  3.
  2.  1.  0. -1. -2. -3. -4. -5.  5.  4.  3.  2.  1.  0. -1. -2. -3. -4.
 -5.  5.  4.  3.  2.  1.  0. -1. -2. -3. -4. -5.  5.  4.  3.  2.  1.  0.
 -1. -2. -3. -4. -5.  6.  5.  4.  3.  2.  1.  0. -1. -2. -3. -4.  6.  5.
  4.  3.  2.  1.  0. -1. -2. -3. -4.  5.  4.  3.  2.  1.  0. -1. -2. -3.
 -4. -5.  6.  5.  4.  3.  2.  1.  0. -1. -2. -3. -4.  6.  5.  4.  3.  2.
  1.  0. -1. -2. -3. -4.  8.  7.  6.  5.  4.  3.  2.  1.  0. -1. -2.  1.
  1.  0.  1.  1.  0.  1.  1.  1.  0.  1.  1.  1.  0.  0.  0.  0.  0.  1.
  0.  1.  1.  1.  0.  0.  0.  0.  1.  1.  1.  0.  1.  1.  0.]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1.
 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1.
 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1.
 1. 1. 0. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1.
 1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1.
