Run ID, Fitness Function, Success, KL Weight, KL Bias, EMD Weight, EMD Bias, KS Statistic Weight, KS Statistic Bias, Mean Weight, Mean Bias, Std Weight, Std Bias, Kurtosis Weight, Kurtosis Bias
run_1,simple_fitness_func,True,inf,inf,0.7888713797923876,3.8650427165375283,0.3813631217076612,0.8709193664845062,0.057968819175518584,-3.8411927162543407,1.170708652180467,3.5573910432283156,0.8705292457125591,-0.6748661434455525
run_2,simple_fitness_func,True,inf,inf,0.8858195984349801,3.860300624881764,0.40450011584530177,0.8405888451263611,0.049868101982146446,-3.7880876043384855,1.247940396285316,3.6095669764830847,0.33036290316450057,-0.6057744049491793
run_3,simple_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_4,simple_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_5,simple_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_6,simple_fitness_func,True,inf,inf,0.8370020968677118,3.8684183717058245,0.40388159666004586,0.8578475756236795,0.0564711356630071,-3.824318785170277,1.180960054136798,3.5580982292836687,0.24064004638257286,-0.6376566461724473
run_7,simple_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_8,simple_fitness_func,True,inf,inf,0.8514133319035129,3.8730737140101343,0.3970449325622649,0.8690934554282463,0.051760207682199605,-3.8438727983332255,1.2193001821165668,3.53384827244189,0.45558410827552853,-0.6449880213585559
run_9,simple_fitness_func,True,inf,inf,0.8128679903535881,3.859893750761806,0.39265851686821085,0.8505354984357224,0.05562026656699781,-3.7951127927715826,1.1860685339525658,3.529696676181819,0.701136934653908,-0.7168475278320359
run_10,simple_fitness_func,True,inf,inf,0.8568212422560529,3.8624730860724634,0.4076186616285704,0.8529516322491738,0.05525986689351065,-3.7945552925386306,1.207345675363612,3.534029882429329,0.2829443487458865,-0.6438373437320175
run_1,distribution_aware_fitness_func,True,inf,inf,0.7701191911255872,3.8274481806535205,0.3804026431452576,0.87720576471843,0.05611498099866791,-3.794973769826885,1.1360376353232047,3.5739768670632355,0.7161496610916114,-0.5995898181886581
run_2,distribution_aware_fitness_func,True,inf,inf,0.5833813325847679,3.786231423476841,0.38631278926503343,0.8780882420160897,0.0566242670466232,-3.7932702508970104,0.8482126719822428,3.448622707029795,0.20219039136657901,-0.7331328964013917
run_3,distribution_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_4,distribution_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_5,distribution_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_6,distribution_aware_fitness_func,True,inf,inf,0.8644936188181708,3.8690364162062596,0.39601121553877483,0.8658121228973671,0.0563604264710713,-3.8190977389620464,1.2440461669283738,3.5662735048092573,0.5251011541402213,-0.5099735059230777
run_7,distribution_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_8,distribution_aware_fitness_func,True,inf,inf,0.8110372050301898,3.8532790143669757,0.3908629977366437,0.8696953806408798,0.051845526370728534,-3.8392359231094284,1.1714182778309548,3.54817816448141,0.4881201380695548,-0.6587996923430031
run_9,distribution_aware_fitness_func,True,inf,inf,0.8128679903535881,3.859893750761806,0.39265851686821085,0.8505354984357224,0.05562026656699781,-3.7951127927715826,1.1860685339525658,3.529696676181819,0.701136934653908,-0.7168475278320359
run_10,distribution_aware_fitness_func,True,inf,inf,0.666840131751262,3.851311115015466,0.3876376022412594,0.8744262834186576,0.05422367312160526,-3.8311313427217644,0.9657246066425814,3.4930080358988076,0.2673712475176666,-0.7038012115568804
run_1,magnitude_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_2,magnitude_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_3,magnitude_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_4,magnitude_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_5,magnitude_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_6,magnitude_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_7,magnitude_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_8,magnitude_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_9,magnitude_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_10,magnitude_aware_fitness_func,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_1,simple_fitness_with_bias_boost,True,inf,inf,0.9610300277975559,3.87508947077308,0.413029724175475,0.822797716391733,0.05732888327876809,-3.7515978673406574,1.3371894445867811,3.63786323214175,0.2342880373310452,-0.636586063836007
run_2,simple_fitness_with_bias_boost,True,inf,inf,0.8858195984349801,3.860300624881764,0.40450011584530177,0.8405888451263611,0.049868101982146446,-3.7880876043384855,1.247940396285316,3.6095669764830847,0.33036290316450057,-0.6057744049491793
run_3,simple_fitness_with_bias_boost,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_4,simple_fitness_with_bias_boost,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_5,simple_fitness_with_bias_boost,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_6,simple_fitness_with_bias_boost,True,inf,inf,0.896742516827964,3.9010779757708463,0.4097928681427133,0.8442159714603987,0.0570294108470648,-3.8272602100574886,1.2565990823539985,3.618491659908957,0.25005896650749415,-0.5943703879629734
run_7,simple_fitness_with_bias_boost,False,4.613559722900391,inf,0.12347112164344698,3.754831782221624,0.5004144030444668,0.9686655010767106,0.05311334446156056,-3.80351048269137,0.2409754244969757,3.3713147702722375,12.009680487428867,-0.8142802326770067
run_8,simple_fitness_with_bias_boost,True,inf,inf,0.8514133319035129,3.8730737140101343,0.3970449325622649,0.8690934554282463,0.051760207682199605,-3.8438727983332255,1.2193001821165668,3.53384827244189,0.45558410827552853,-0.6449880213585559
run_9,simple_fitness_with_bias_boost,True,inf,inf,0.8128679903535881,3.859893750761806,0.39265851686821085,0.8505354984357224,0.05562026656699781,-3.7951127927715826,1.1860685339525658,3.529696676181819,0.701136934653908,-0.7168475278320359
run_10,simple_fitness_with_bias_boost,True,inf,inf,0.8568212422560529,3.8624730860724634,0.4076186616285704,0.8529516322491738,0.05525986689351065,-3.7945552925386306,1.207345675363612,3.534029882429329,0.2829443487458865,-0.6438373437320175
